ACCOUNT__C,ACCOUNT__R.NAME,DISTRIBUTOR_ADDRESS__C,DISTRIBUTOR_ADDRESS__CITY__S,DISTRIBUTOR_ADDRESS__COUNTRYCODE__S,DISTRIBUTOR_ADDRESS__GEOCODEACCURACY__S,DISTRIBUTOR_ADDRESS__LATITUDE__S,DISTRIBUTOR_ADDRESS__LONGITUDE__S,DISTRIBUTOR_ADDRESS__POSTALCODE__S,DISTRIBUTOR_ADDRESS__STATECODE__S,DISTRIBUTOR_ADDRESS__STREET__S,DISTRIBUTOR_LOCATION__C,DISTRIBUTOR_LOCATION__LATITUDE__S,DISTRIBUTOR_LOCATION__LONGITUDE__S,DISTRIBUTOR_LOGO__C,DISTRIBUTOR_PRODUCT_URL__C,ID,NAME,PRODUCT__C,PRODUCT__R.NAME,STORE__C,STORE__R.NAME
001O4000009mvTvIAI,Maxwell,,Peterborough,CA,,,,K9J 7K6,,3712 Kennedy Rd,,51.253775,-85.3232139,,,a20O40000005Og1IAE,D-00000041,01t3u000003ROr1AAG,Surfox Basic,0ZE7A00000001gNWAQ,Walter-EN_CA
,,,,US,,,,,,,,,,,https://sbsimpson.com/product/walter-53g095-heavy-duty-disinfectant-cleaner-degreaser-3-78l-chemicals-cleaners-and-coatings-90-02449/,a20O40000005fH3IAI,D-00000046,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000APCppIAH,Lethbridge Fasteners & Tools Ltd,,,US,,,,,,,,,,,,a20O40000005k8rIAA,D-00000060,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000AP6hEIAT,Fastening House,,,US,,,,,,,,,,,,a20O40000005k8sIAA,D-00000061,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000AP5YEIA1,The Sandpaper People,,,US,,,,,,,,,,,,a20O40000005k8tIAA,D-00000062,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000AP941IAD,Mississauga Hardware Centre Inc.,,,US,,,,,,,,,,,,a20O40000005k8uIAA,D-00000063,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000AP8O4IAL,TENAQUIP Limited,,,US,,,,,,,,,,,,a20O40000005k8vIAA,D-00000064,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000APBDvIAP,Vallen,,,US,,,,,,,,,,,,a20O40000005k8wIAA,D-00000065,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000APB7VIAX,Canada Welding Supply Inc.,,,US,,,,,,,,,,,,a20O40000005k8xIAA,D-00000066,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O4000009lNTxIAM,Fastenal,,,US,,,,,,,,,,,,a20O40000005k8yIAA,D-00000067,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000APIyTIAX,SB Simpson,,,US,,,,,,,,,,,,a20O40000005k8zIAA,D-00000068,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000AP6CaIAL,ohcanadasupply.ca,,,US,,,,,,,,,,,,a20O40000005k90IAA,D-00000069,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000APE24IAH,eGrimesDirect,,,US,,,,,,,,,,,,a20O40000005k91IAA,D-00000070,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000AP9EuIAL,Targa Tools,,,US,,,,,,,,,,,,a20O40000005k92IAA,D-00000071,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000AP5JoIAL,Gregg Distributors,,,US,,,,,,,,,,,,a20O40000005k93IAA,D-00000072,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000APKM2IAP,AIR LIQUIDE,,,US,,,,,,,,,,,,a20O40000005k94IAA,D-00000073,,,0ZE7A00000001gNWAQ,Walter-EN_CA
001O400000AP8rTIAT,Construction Fasteners & Tools,,,US,,,,,,,,,,,,a20O40000005k95IAA,D-00000074,,,0ZE7A00000001gNWAQ,Walter-EN_CA
