ID,NAME,STORE__C,STORE__R.NAME,WALTERB2BSTORE_COUNTRY__C,WALTERB2BSTORE_COUNTRY__R.NAME
a1v7A000001IUtLQAW,Ontario,0ZEO9000002S0ojOAC,Walter-EN_CA,a1qO9000000Z9gLIAS,Canada
a1v7A000001IUtMQAW,Quebec,0ZEO9000002S0ojOAC,Walter-EN_CA,a1qO9000000Z9gLIAS,Canada
a1v7A000001IUtNQAW,Nova Scotia,0ZEO9000002S0ojOAC,Walter-EN_CA,a1qO9000000Z9gLIAS,Canada
a1v7A000001IUtOQAW,New Brunswick,0ZEO9000002S0ojOAC,Walter-EN_CA,a1qO9000000Z9gLIAS,Canada
a1v7A000001IUtPQAW,Manitoba,0ZEO9000002S0ojOAC,Walter-EN_CA,a1qO9000000Z9gLIAS,Canada
a1v7A000001IUtQQAW,British Columbia,0ZEO9000002S0ojOAC,Walter-EN_CA,a1qO9000000Z9gLIAS,Canada
a1v7A000001IUtRQAW,Prince Edward Island,0ZEO9000002S0ojOAC,Walter-EN_CA,a1qO9000000Z9gLIAS,Canada
a1v7A000001IUtSQAW,Saskatchewan,0ZEO9000002S0ojOAC,Walter-EN_CA,a1qO9000000Z9gLIAS,Canada
a1v7A000001IUtTQAW,Alberta,0ZEO9000002S0ojOAC,Walter-EN_CA,a1qO9000000Z9gLIAS,Canada
a1v7A000001IUtUQAW,Newfoundland and Labrador,0ZEO9000002S0ojOAC,Walter-EN_CA,a1qO9000000Z9gLIAS,Canada
